,comuna1,comuna,Ubar,Abar,L,w_mean
287,13404,PAINE,0.004709125778194939,0.0040477284287753715,69351,6283570.08
288,13501,MELIPILLA,0.005997127382982058,0.0025519333672887287,119580,4134076.08
289,13503,CURACAVI,0.003603598734501464,0.0028463611098910784,30319,4292620.08
290,13504,MARIA PINTO,0.0021201581184656444,0.0023365195492608365,13238,3383374.92
291,13505,SAN PEDRO,0.0015945762240822175,0.0025303802617868618,9907,3700381.56
292,13601,TALAGANTE,0.00477452000890535,0.003924616896978732,72006,6136656.0
293,13602,EL MONTE,0.003587724902800872,0.002841296133584397,37061,4354027.5600000005
294,13603,ISLA DE MAIPO,0.004282098343693057,0.002343531725325101,36747,3580579.08
295,13604,PADRE HURTADO,0.004337196322028187,0.003488505701670647,58675,5409252.36
296,13605,PENAFLOR,0.005321661577224199,0.0032544612325000463,93397,5181517.5600000005
297,14101,VALDIVIA,0.006694299348366534,0.004061526061437,171527,6589420.5600000005
298,14102,CORRAL,0.0011488426927818071,0.002667630723759664,5769,3907507.56
299,14103,LANCO,0.0023827488528822024,0.0026196845693759927,17936,3937215.0
300,14104,LOS LAGOS,0.002912632832550776,0.0025445518161063083,22864,3830696.6399999997
301,14105,MAFIL,0.001406802596487917,0.003078217641672891,7458,4466273.28
302,14106,MARIQUINA,0.0027141090049211157,0.002958118402824531,22654,4447245.36
303,14107,PAILLACO,0.00256666514248578,0.002676871069675881,21029,4030893.7199999997
304,14108,PANGUIPULLI,0.0037615634553097694,0.0025908647807259544,36650,3913504.08
305,14201,LA UNION,0.004021192565923014,0.0027316721755145934,43671,4207504.08
306,14202,FUTRONO,0.002582342129461019,0.00291266350349613,16636,4294983.72
307,14203,LAGO RANCO,0.002197894470831019,0.002271227319753415,10893,3334803.3600000003
308,14204,RIO BUENO,0.0033584685452585448,0.002550460271159008,33010,3908895.3600000003
309,15101,ARICA,0.006421334715174368,0.003252871879040045,243701,5412057.72
310,15102,CAMARONES,0.00024033815879151538,0.0015188874764156077,783,2854461.5999999996
311,15201,PUTRE,0.00041336392360524283,0.0030889885109895137,2090,4499634.36
