,comuna1,comuna,delta2,L,w,PI,f,ip,welfare,PI_Wr
89,6203,LITUECHE,0.625,6387.865857877508,4056926.089434764,0.8226176731207818,3.337158172255744e-08,9.866506336701463e-09,0.0006664656823932463,0.00035320172314366976
90,6204,MARCHIGUE,0.625,7640.618616005711,4020911.453617374,0.769157646719077,3.357413095337215e-08,1.3317206507829667e-08,0.0006664656823932463,0.0003536442223657717
91,6205,NAVIDAD,0.625,5996.218069369153,3703694.4680136656,0.7393836772486195,3.933533886070144e-08,3.424570435929683e-09,0.0006664656823932465,0.0003523731614157844
92,6206,PAREDONES,0.625,6333.2667172147785,3716544.0967531158,0.72146135950751,4.146314398937851e-08,2.6725001577922218e-09,0.0006664656823932464,0.0003519806735616562
93,6301,SAN FERNANDO,0.625,74474.16515581016,4406979.356927571,1.2883567018821607,1.309531764007474e-07,1.221649479820666e-07,0.0006664656823932463,0.0003546866800780177
94,6302,CHEPICA,0.625,16282.879320443075,3761050.841621336,0.8304608100797356,7.102034141045674e-08,4.231612907699292e-09,0.0006664656823932467,0.0003544516729974832
95,6303,CHIMBARONGO,0.625,37887.92712625109,3636957.999785687,0.9697043179872898,1.108805261258652e-07,2.4300660048810053e-08,0.0006664656823932462,0.0003547458338486691
96,6304,LOLOL,0.625,7056.104786692491,3653692.219671128,0.7488701757947963,3.6023661628352724e-08,1.0545502254331804e-08,0.0006664656823932469,0.00035301421430781023
97,6305,NANCAGUA,0.625,17153.374750446867,4217090.745073708,0.8620510914039722,4.5973204957446375e-08,6.107111412465051e-08,0.0006664656823932468,0.0003544034866102472
98,6306,PALMILLA,0.625,13474.653868868501,3475187.847358251,0.8271198639292259,4.058509477048366e-08,2.3739829177334197e-08,0.0006664656823932465,0.0003542232412778008
99,6307,PERALILLO,0.625,11746.901757841479,4336495.870263374,0.8183333231936849,4.590806862985303e-08,1.3658843861554564e-08,0.0006664656823932468,0.0003538362227360024
100,6308,PLACILLA,0.625,9315.530180926773,4053603.6740526883,0.7956988736350834,4.590595177661923e-08,7.2455377415492084e-09,0.0006664656823932462,0.0003541903963856712
101,6309,PUMANQUE,0.625,3453.5170237964217,5554865.455900663,0.6362197469231351,3.083345625474027e-08,5.732844777466835e-09,0.0006664656823932463,0.0003528989990829067
102,6310,SANTA CRUZ,0.625,38044.29370437927,5202721.851493694,1.1368352630282041,8.537226084905709e-08,4.5573302399575886e-08,0.0006664656823932464,0.0003542755730156465
103,7101,TALCA,0.625,236144.02191015947,5932529.698371033,1.536487061049057,3.9882286792588594e-07,3.0117357589809526e-07,0.0006664656823932477,0.00035463463524295247
104,7102,CONSTITUCION,0.625,51052.829046586514,5355921.197744832,1.124508832976433,1.114825319558267e-07,6.084312745229834e-08,0.0006664656823932462,0.0003518558095058602
105,7103,CUREPTO,0.625,10735.855108681406,3536533.7575686392,0.7489120350889729,5.1535376598868366e-08,6.7358997542808055e-09,0.0006664656823932466,0.0003527213854325467
106,7104,EMPEDRADO,0.625,4477.659444762205,3720502.5007271725,0.6814320731334436,3.8315241554340954e-08,1.9815375972492256e-09,0.0006664656823932464,0.00035188416672789186
107,7105,MAULE,0.625,57441.43340111423,3333020.1864072224,0.9826666938753608,1.770005168269963e-07,2.117785214846792e-08,0.0006664656823932465,0.0003545574775337609
